Experiment,rev,typ,Created,parent,State,Executor,rmse,mae,r2_score,data_ingestion.raw_data_path,data_ingestion.sheet_name,data_ingestion.ingested_data_path,data_preprocessing.input_path,data_preprocessing.output_path,data_preprocessing.price_min_valid,data_preprocessing.sqft_min_valid,feature_engineering.input_path,feature_engineering.train_path,feature_engineering.test_path,feature_engineering.target_column,feature_engineering.test_size,feature_engineering.random_state,model_building.train_path,model_building.model_path,model_building.n_estimators,model_building.max_depth,model_building.min_samples_split,model_building.min_samples_leaf,model_building.random_state,model_evaluation.test_path,model_evaluation.model_path,model_evaluation.metrics_path,data/features/test.csv,data/features/train.csv,data/processed/housing_processed.csv,dataset/housing.csv,dataset/puf2022.xls,models/model.pkl,src/data_ingestion.py,src/data_preprocessing.py,src/feature_engg.py,src/model_eval.py,src/model_training.py
,workspace,baseline,,,,,31376.059266466033,21249.14380025669,0.599138708399457,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,500,10,5,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,03b1e616904a4c3e42a783a11aa20739,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
,master,baseline,2026-08-07T10:09:49,,,,!,!,!,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,400,20,4,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,e61e48ae8553bc87915281dfabdd77cc,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
zonal-eild,79360e2,branch_commit,2026-08-21T09:24:25,,Success,Dvc-task,31378.24363865521,21241.722727825843,0.5990828912727786,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,600,10,5,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,73ffdc9d494e96bbd049457aef1e6e7c,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
amber-wean,bb8022c,branch_commit,2026-08-21T09:24:20,,Success,Dvc-task,30909.615418486454,20785.722457613483,0.6109687118340938,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,500,10,5,25,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,0a4716cc6dfc221553d89a5eb7a313ad,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
pesky-hour,9b5b9d1,branch_commit,2026-08-21T09:24:15,,Success,Dvc-task,31968.82477266777,21923.205661550957,0.583849260719576,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,500,15,5,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,9f9ecefc6ecbc24276879129d2285c08,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
surgy-pees,511f367,branch_commit,2026-08-21T09:24:10,,Success,Dvc-task,31137.280449436752,21153.183319198888,0.6052167801940094,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,500,10,10,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,b2452edc6d795556f6e1829160ba0c1f,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
sleek-oast,05a52ba,branch_commit,2026-08-21T09:24:06,,Success,Dvc-task,32027.72510328455,21976.904427507587,0.5823143906333544,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,600,20,5,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,9e6352ffbe5f61838d0fddadd3be9caf,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
livid-furl,0adf502,branch_commit,2026-08-21T09:24:01,,Success,Dvc-task,32038.189392306882,21970.78039000951,0.5820414085875241,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,800,15,3,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,a691a8cb83529953ee4d2c1951623dac,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
kraal-agas,ef150e9,branch_commit,2026-08-21T09:23:55,,Success,Dvc-task,31446.77809446747,21545.098800131393,0.5973296610671852,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,800,25,10,2,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,bea61002e8621f1b64f5ee80ac23213c,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
eerie-haet,e6d015b,branch_commit,2026-08-21T09:23:50,,Success,Dvc-task,31243.26609399453,21100.017681960806,0.6025246655590955,dataset/puf2022.xls,PUF2022final,dataset/housing.csv,dataset/housing.csv,data/processed/housing_processed.csv,1000,100,data/processed/housing_processed.csv,data/features/train.csv,data/features/test.csv,PRICE,0.2,42,data/features/train.csv,models/model.pkl,500,25,10,10,42,data/features/test.csv,models/model.pkl,metrics/metrics.json,727cf983b1ee5f7b0885cf2c1825d40b,b3d4522ff2548e267acd2588640a76d8,fb60261cc754f86fca67f16804de365c,9d47fead543f17fe0d997fb92d621ee5,58b2e74f50b2a191617036cd4a5eac23,14eeddeab2d108c140ba33decd2759ac,9f9808cada7025e6ff6682b59f4c8f2a,39570ececb80b1822a62d293953b0e7f,6af1e7924d41c501a02a829ee2255153,510b84cd65cfdd2f112ecbeb436fab17,95d712d2aaa4a68e74c035e6877062dc
